"Id","OwnerId","IsDeleted","Name","nFORCE__Form_Type__c","nFORCE__Group__c","nFORCE__Is_Archived__c","nFORCE__Is_Required__c","nFORCE__Label__c","nFORCE__Order__c","nFORCE__lookupKey__c","nFORCE__Api_Key__c","nFORCE__Default_Text_Answer__c","nFORCE__Classification_Tag__c","nFORCE__Help_Text__c","nFORCE__Maximum__c","nFORCE__Minimum__c","nFORCE__Target_Answer_Field__c"
"a30bn000004af5cAAA","005bn000003k2JdAAI","","Q-000203","Picklist","a2Bbn000000J52aEAC","true","false","I certify that this loan has been marked HMDA Reportable and the applicable loan details have been populated.","4.0","a30bn000004af6oAAA","","","","","","",""
"a30bn000004af5dAAA","005bn000003k2JdAAI","","Q-000204","Picklist","a2Bbn000000J52aEAC","true","false","Is this loan purpose to purchase, improve, or refinance a dwelling?","2.0","a30bn000004af6pAAA","","","","","","",""
"a30bn000004af5fAAA","005bn000003k2JdAAI","","Q-000206","Picklist","a2Bbn000000J52aEAC","true","false","Is this loan a construction-only, bridge loan, or other temporary financing expected to be replaced with permanent financing?","3.0","a30bn000004af6qAAA","","","","","","",""
"a30bn000004af5aAAA","005bn000003k2JdAAI","","Q-000207","Picklist","a2Bbn000000J52aEAC","true","false","I certify that this loan IS NOT HMDA Reportable.","4.0","a30bn000004af6rAAA","","","","","","",""
"a30bn000004af5jAAA","005bn000003k2JdAAI","","Q-000211","Picklist","a2Bbn000000J52aEAC","false","false","I certify that this loan has been marked HMDA Reportable and the applicable loan details have been populated.","8.0","a30bn000004af6sAAA","","","","","","",""
"a30bn000004af5gAAA","005bn000003k2JdAAI","","Q-000208","Picklist","a2Bbn000000J52UEAS","false","false","Is any borrower, co-borrower, or guarantor an executive officer, director, or principal shareholder of that bank, of a bank holding company of which the member bank is a subsidiary, and of any other subsidiary of that bank holding company?","0.0","a30bn000004af6tAAA","","","","","","",""
"a30bn000004af5hAAA","005bn000003k2JdAAI","","Q-000209","Picklist","a2Bbn000000J52UEAS","true","false","If any borrower, co-borrower, or guarantor of this loan is an employee of the bank or any affiliates, I certify I have indicated this is an ""Employee Loan"".","1.0","a30bn000004af6uAAA","","","","","","",""
"a30bn000004af5iAAA","005bn000003k2JdAAI","","Q-000210","Picklist","a2Bbn000000J52UEAS","true","false","I certify this loan has been marked as ""Reg O Reportable"".","2.0","a30bn000004af6vAAA","","","","","","",""
"a30bn000004af5kAAA","005bn000003k2JdAAI","","Q-000212","Picklist","a2Bbn000000J52UEAS","false","false","If any borrower, co-borrower, or guarantor of this loan is an employee of the bank or any affiliates, I certify I have indicated this is an ""Employee Loan"".","1.0","a30bn000004af6wAAA","","","","","","",""
"a30bn000004af5lAAA","005bn000003k2JdAAI","","Q-000213","Picklist","a2Bbn000000J52UEAS","false","false","I certify this loan has been marked as ""Reg O Reportable"".","2.0","a30bn000004af6xAAA","","","","","","",""
"a30bn000004af5mAAA","005bn000003k2JdAAI","","Q-000214","Picklist","a2Bbn000000J52VEAS","false","false","Is any borrower, co-borrower, or guarantor company directly or indirectly controlled, sponsored, or advised by our bank?","0.0","a30bn000004af6yAAA","","","","","","",""
"a30bn000004af5nAAA","005bn000003k2JdAAI","","Q-000215","Picklist","a2Bbn000000J52VEAS","false","false","I certify that Reg W applies to this loan.","5.0","a30bn000004af6zAAA","","","","","","",""
"a30bn000004af5oAAA","005bn000003k2JdAAI","","Q-000216","Picklist","a2Bbn000000J52XEAS","false","false","Is this loan HMDA reportable?","0.0","a30bn000004af70AAA","","","","","","",""
"a30bn000004af5pAAA","005bn000003k2JdAAI","","Q-000217","Picklist","a2Bbn000000J52XEAS","false","false","Is this loan a renewal, extension or modification of a previously HMDA reportable file?","1.0","a30bn000004af71AAA","","","","","","",""
"a30bn000004af5qAAA","005bn000003k2JdAAI","","Q-000218","Picklist","a2Bbn000000J52XEAS","false","false","Is this loan for business purposes?","2.0","a30bn000004af72AAA","","","","","","",""
"a30bn000004af5rAAA","005bn000003k2JdAAI","","Q-000219","Picklist","a2Bbn000000J52XEAS","false","false","Is the loan amount $1 Million or less?","3.0","a30bn000004af73AAA","","","","","","",""
"a30bn000004af5sAAA","005bn000003k2JdAAI","","Q-000220","Picklist","a2Bbn000000J52XEAS","false","false","Is this loan an origination?","4.0","a30bn000004af74AAA","","","","","","",""
"a30bn000004af5tAAA","005bn000003k2JdAAI","","Q-000221","Picklist","a2Bbn000000J52XEAS","false","false","I certify that this loan is CRA reportable?","6.0","a30bn000004af75AAA","","","","","","",""
"a30bn000004af5uAAA","005bn000003k2JdAAI","","Q-000222","Picklist","a2Bbn000000J52WEAS","false","true","Will this loan be used for construction of:","0.0","a30bn000004af76AAA","","","","","","",""
"a30bn000004af5vAAA","005bn000003k2JdAAI","","Q-000223","Picklist","a2Bbn000000J52WEAS","false","false","Is the LTV ratio less than or equal to the applicable maximum supervisory LTV ratio?","1.0","a30bn000004af77AAA","","","","","","",""
"a30bn000004af5wAAA","005bn000003k2JdAAI","","Q-000224","Picklist","a2Bbn000000J52WEAS","false","false","Has the borrower contributed capital to the project in the form of cash or unencumbered readily marketable assets (must contribute to the project) estate's appraised ""as completed"" value?","2.0","a30bn000004af78AAA","","","","","","",""
"a30bn000004af5xAAA","005bn000003k2JdAAI","","Q-000225","Picklist","a2Bbn000000J52WEAS","false","false","The borrower contributed the amount of capital required, described above, prior to the bank advancing any funds under the credit facility?","3.0","a30bn000004af79AAA","","","","","","",""
"a30bn000004af61AAA","005bn000003k2JdAAI","","Q-000229","Picklist","a2Bbn000000J52cEAC","false","false","What is your expected annual expenses?","1.0","a30bn000004af7AAAQ","","","","","","",""
"a30bn000004af5yAAA","005bn000003k2JdAAI","","Q-000226","Picklist","a2Bbn000000J52WEAS","false","false","The capital contributed by the borrower, or internally generated by the project, is contractually required to remain in the project throughout the life of the project?","4.0","a30bn000004af7BAAQ","","","","","","",""
"a30bn000004af5zAAA","005bn000003k2JdAAI","","Q-000227","Picklist","a2Bbn000000J52WEAS","false","false","I certify this transaction has been indicated as a HVCRE reportable transaction?","5.0","a30bn000004af7CAAQ","","","","","","",""
"a30bn000004af60AAA","005bn000003k2JdAAI","","Q-000228","Picklist","a2Bbn000000J52cEAC","false","false","What is your expected annual revenue?","0.0","a30bn000004af7DAAQ","","","","","","",""
"a30bn000004af62AAA","005bn000003k2JdAAI","","Q-000230","Picklist","a2Bbn000000J52cEAC","false","false","Do you expect to conduct international transactions?","2.0","a30bn000004af7EAAQ","","","","","","",""
"a30bn000004af63AAA","005bn000003k2JdAAI","","Q-000231","Picklist","a2Bbn000000J52cEAC","false","false","How much will your business deposit in cash on a daily basis?","4.0","a30bn000004af7FAAQ","","","","","","",""
"a30bn000004af64AAA","005bn000003k2JdAAI","","Q-000232","Picklist","a2Bbn000000J52cEAC","false","false","How long have you been in business?","5.0","a30bn000004af7GAAQ","","","","","","",""
"a30bn000004af65AAA","005bn000003k2JdAAI","","Q-000233","Picklist","a2Bbn000000J52cEAC","false","false","What amount do you intend to maintain in this account?","6.0","a30bn000004af7HAAQ","","","","","","",""
"a30bn000004af66AAA","005bn000003k2JdAAI","","Q-000234","Picklist","a2Bbn000000J52cEAC","false","false","How will you be using this account?","7.0","a30bn000004af7IAAQ","","","","","","",""
"a30bn000004af67AAA","005bn000003k2JdAAI","","Q-000235","Picklist","a2Bbn000000J52cEAC","false","false","Do any of the following apply to your business?","8.0","a30bn000004af7JAAQ","","","","","","",""
"a30bn000004af68AAA","005bn000003k2JdAAI","","Q-000236","Picklist","a2Bbn000000J52cEAC","false","false","May I ask you a few more questions to better understand your needs?","10.0","a30bn000004af7KAAQ","","","","","","",""
"a30bn000004af69AAA","005bn000003k2JdAAI","","Q-000237","Picklist","a2Bbn000000J52aEAC","true","false","Is the loan (not secured by residential dwelling) for the purpose of improving (repair, rehabilitation, or renovating) a residential dwelling AND the bank classified it as a home improvement loan?","1.0","a30bn000004af7LAAQ","","","","","","",""
"a30bn000004af6AAAQ","005bn000003k2JdAAI","","Q-000238","Picklist","a2Bbn000000J52aEAC","false","false","I certify that this loan IS NOT HMDA Reportable.","9.0","a30bn000004af7MAAQ","","","","","","",""
"a30bn000004af6BAAQ","005bn000003k2JdAAI","","Q-000239","Picklist","a2Bbn000000J52VEAS","false","false","Does this transaction intend to support the purchase of assets from an affiliate?","2.0","a30bn000004af7NAAQ","","","","","","",""
"a30bn000004af6CAAQ","005bn000003k2JdAAI","","Q-000240","Picklist","a2Bbn000000J52VEAS","false","false","Does this transaction contain a guarantee on behalf of an affiliate?","3.0","a30bn000004af7OAAQ","","","","","","",""
"a30bn000004af6DAAQ","005bn000003k2JdAAI","","Q-000241","Picklist","a2Bbn000000J52VEAS","false","false","Does this transaction help to invest in securities issued by an affiliate?","1.0","a30bn000004af7PAAQ","","","","","","",""
"a30bn000004af6EAAQ","005bn000003k2JdAAI","","Q-000242","Picklist","a2Bbn000000J52VEAS","false","false","Does this transaction utilize as collateral any securities issued by an affiliate?","4.0","a30bn000004af7QAAQ","","","","","","",""
"a30bn000004af6FAAQ","005bn000003k2JdAAI","","Q-000243","Text","a2Bbn000000J52VEAS","false","false","Please describe how the subject transaction is in compliance with market terms and arms length definitions as defined in Reg W.","6.0","a30bn000004af7RAAQ","","","","","","",""
"a30bn000004af6GAAQ","005bn000003k2JdAAI","","Q-000244","Picklist","a2Bbn000000J52WEAS","false","false","I certify this transaction is NOT HVCRE reportable","6.0","a30bn000004af7SAAQ","","","","","","",""
"a30bn000004af6KAAQ","005bn000003k2JdAAI","","Q-000248","Picklist","a2Bbn000000J52bEAC","false","false","How do you prefer to monitor your account activity?","8.0","a30bn000004af7TAAQ","","","","","","",""
"a30bn000004af6HAAQ","005bn000003k2JdAAI","","Q-000245","Picklist","a2Bbn000000J52XEAS","false","false","I certify this loan is not CRA reportable?","5.0","a30bn000004af7UAAQ","","","","","","",""
"a30bn000004af6IAAQ","005bn000003k2JdAAI","","Q-000246","Picklist","a2Bbn000000J52bEAC","false","false","How often do you send money out of the country?","0.0","a30bn000004af7VAAQ","","","","","","",""
"a30bn000004af6JAAQ","005bn000003k2JdAAI","","Q-000247","Picklist","a2Bbn000000J52bEAC","false","false","May I ask you a few more questions to better understand your needs?","4.0","a30bn000004af7WAAQ","","","","","","",""
"a30bn000004af6LAAQ","005bn000003k2JdAAI","","Q-000249","Picklist","a2Bbn000000J52bEAC","false","false","How do you typically pay for purchases?","6.0","a30bn000004af7XAAQ","","","","","","",""
"a30bn000004af6MAAQ","005bn000003k2JdAAI","","Q-000250","Picklist","a2Bbn000000J52bEAC","false","false","How do you typically pay your monthly bills?","7.0","a30bn000004af7YAAQ","","","","","","",""
"a30bn000004af6NAAQ","005bn000003k2JdAAI","","Q-000251","Picklist","a2Bbn000000J52bEAC","true","false","How often do you send money out of the country?","0.0","a30bn000004af7ZAAQ","","","","","","",""
"a30bn000004af6OAAQ","005bn000003k2JdAAI","","Q-000252","Picklist","a2Bbn000000J52bEAC","false","false","Do you typically make cash deposits?","2.0","a30bn000004af7aAAA","","","","","","",""
"a30bn000004af6PAAQ","005bn000003k2JdAAI","","Q-000253","Picklist","a2Bbn000000J52bEAC","false","false","How much in cash are you typically depositing?","3.0","a30bn000004af7bAAA","","","","","","",""
"a30bn000004af6QAAQ","005bn000003k2JdAAI","","Q-000254","Picklist","a2Bbn000000J52bEAC","false","false","How do you typically make your deposits?","1.0","a30bn000004af7cAAA","","","","","","",""
"a30bn000004af6WAAQ","005bn000003k2JdAAI","","Q-000260","Picklist","a2Bbn000000J52cEAC","true","false","How much will your business deposit in cash on a daily basis?","5.0","a30bn000004af7dAAA","","","","","","",""
"a30bn000004af6RAAQ","005bn000003k2JdAAI","","Q-000255","Picklist","a2Bbn000000J52bEAC","false","false","What type of automatic payments do you have coming out of your accounts?","5.0","a30bn000004af7eAAA","","","","","","",""
"a30bn000004af6SAAQ","005bn000003k2JdAAI","","Q-000256","Picklist","a2Bbn000000J52bEAC","false","false","In the next year, do you plan to move locally or relocate?","9.0","a30bn000004af7fAAA","","","","","","",""
"a30bn000004af6TAAQ","005bn000003k2JdAAI","","Q-000257","Picklist","a2Bbn000000J52bEAC","false","false","In the next year, do you plan to buy or sell any real estate?","10.0","a30bn000004af7gAAA","","","","","","",""
"a30bn000004af6UAAQ","005bn000003k2JdAAI","","Q-000258","Picklist","a2Bbn000000J52bEAC","false","false","In the next year, do you plan reevaluate how you are planning for your retirement?","11.0","a30bn000004af7hAAA","","","","","","",""
"a30bn000004af6VAAQ","005bn000003k2JdAAI","","Q-000259","Picklist","a2Bbn000000J52cEAC","false","false","How often do you expect to send money overseas?","3.0","a30bn000004af7iAAA","","","","","","",""
"a30bn000004af6XAAQ","005bn000003k2JdAAI","","Q-000261","Picklist","a2Bbn000000J52cEAC","false","false","Are you registered as a Money Service Business with the state in which you operate?","9.0","a30bn000004af7jAAA","","","","","","",""
"a30bn000004af6YAAQ","005bn000003k2JdAAI","","Q-000262","Picklist","a2Bbn000000J52cEAC","false","false","May I tell you more about our Treasury Services?","12.0","a30bn000004af7kAAA","","","","","","",""
"a30bn000004af6ZAAQ","005bn000003k2JdAAI","","Q-000263","Picklist","a2Bbn000000J52cEAC","false","false","What types of banking services do you typically use?","11.0","a30bn000004af7lAAA","","","","","","",""
"a30bn000004af6aAAA","005bn000003k2JdAAI","","Q-000264","Picklist","a2Bbn000000J52cEAC","false","false","In the next year do you plan to buy or sell any real estate?","14.0","a30bn000004af7mAAA","","","","","","",""
"a30bn000004af6bAAA","005bn000003k2JdAAI","","Q-000265","Picklist","a2Bbn000000J52cEAC","false","false","In the next year, do you plan to add additional locations?","13.0","a30bn000004af7nAAA","","","","","","",""
"a30bn000004af6cAAA","005bn000003k2JdAAI","","Q-000266","Picklist","a2Bbn000000J52cEAC","false","false","In the next year do you plan to reevaluate retirement options for yourself or your employees?","15.0","a30bn000004af7oAAA","","","","","","",""
"a30bn000004af6dAAA","005bn000003k2JdAAI","","Q-000267","Picklist","a2Bbn000000J52cEAC","false","false","In the next year do you plan to purchase or refinance any business associated assets?","16.0","a30bn000004af7pAAA","","","","","","",""
